UnionSize,Weighted,TestNum,Time
35000,0,7,0.133187
35000,0,8,0.132084
35000,0,9,0.127969
35000,0,10,0.133096
35000,0,11,0.125432
35000,0,12,0.130366
35000,0,13,0.134596
35000,0,14,0.131987
35000,0,15,0.132363
35000,0,16,0.114213
35000,0,17,0.129849
35000,0,18,0.130210
35000,0,19,0.125745
35000,0,20,0.129103
35000,0,21,0.126155
35000,0,22,0.121755
35000,0,23,0.140341
35000,0,24,0.129297
35000,0,25,0.117934
35000,0,26,0.140110
35000,0,27,0.129907
35000,0,28,0.131323
35000,0,29,0.130745
35000,0,30,0.143796
35000,0,31,0.137540
35000,0,32,0.135687
35000,0,33,0.135256
35000,0,34,0.125130
35000,0,35,0.117073
35000,0,36,0.113268
35000,0,37,0.127297
35000,0,38,0.126497
35000,0,39,0.141821
35000,0,40,0.123339
35000,0,41,0.132810
35000,0,42,0.139789
35000,0,43,0.149042
35000,0,44,0.161467
35000,0,45,0.135413
35000,0,46,0.166037
35000,0,47,0.129310
35000,0,48,0.136582
35000,0,49,0.151682
35000,0,50,0.122993
40000,1,1,0.121337
40000,1,2,0.129057
40000,1,3,0.132234
40000,1,4,0.117967
40000,1,5,0.124433
40000,1,6,0.117477
40000,1,7,0.140112
40000,1,8,0.166874
40000,1,9,0.153481
40000,1,10,0.143843
40000,1,11,0.149233
40000,1,12,0.170143
40000,1,13,0.157074
40000,1,14,0.152033
40000,1,15,0.178919
40000,1,16,0.167515
40000,1,17,0.166156
40000,1,18,0.163048
40000,1,19,0.160245
40000,1,20,0.169185
40000,1,21,0.147619
40000,1,22,0.156367
40000,1,23,0.151891
40000,1,24,0.148576
40000,1,25,0.146801
40000,1,26,0.155581
40000,1,27,0.139036
40000,1,28,0.153267
40000,1,29,0.131416
40000,1,30,0.159196
40000,1,31,0.144880
40000,1,32,0.163629
40000,1,33,0.161042
40000,1,34,0.150198
40000,1,35,0.155513
40000,1,36,0.145413
40000,1,37,0.154851
40000,1,38,0.146099
40000,1,39,0.151100
40000,1,40,0.159937
40000,1,41,0.163777
40000,1,42,0.165291
40000,1,43,0.146036
40000,1,44,0.154224
40000,1,45,0.135630
40000,1,46,0.147885
40000,1,47,0.146089
40000,1,48,0.167535
40000,1,49,0.143837
40000,1,50,0.154602
40000,0,1,0.166342
40000,0,2,0.156991
40000,0,3,0.164092
40000,0,4,0.148598
40000,0,5,0.162915
40000,0,6,0.146910
40000,0,7,0.153343
40000,0,8,0.154839
40000,0,9,0.173359
40000,0,10,0.149911
40000,0,11,0.149289
40000,0,12,0.158747
40000,0,13,0.159192
40000,0,14,0.148015
40000,0,15,0.146039
40000,0,16,0.145264
40000,0,17,0.152281
40000,0,18,0.158244
40000,0,19,0.146808
40000,0,20,0.152542
40000,0,21,0.149379
40000,0,22,0.147491
40000,0,23,0.151438
40000,0,24,0.141376
40000,0,25,0.156903
40000,0,26,0.153791
40000,0,27,0.143451
40000,0,28,0.153711
40000,0,29,0.157176
40000,0,30,0.142676
40000,0,31,0.160303
40000,0,32,0.165764
40000,0,33,0.160041
40000,0,34,0.149225
40000,0,35,0.167513
40000,0,36,0.140733
40000,0,37,0.138108
40000,0,38,0.147601
40000,0,39,0.151285
40000,0,40,0.145100
40000,0,41,0.136184
40000,0,42,0.137195
40000,0,43,0.151110
40000,0,44,0.149302
40000,0,45,0.149706
40000,0,46,0.155074
40000,0,47,0.150261
40000,0,48,0.147446
40000,0,49,0.154581
40000,0,50,0.131096
45000,1,1,0.146005
45000,1,2,0.146329
45000,1,3,0.158320
45000,1,4,0.134720
45000,1,5,0.136714
45000,1,6,0.138355
45000,1,7,0.169532
45000,1,8,0.169064
45000,1,9,0.170349
45000,1,10,0.170458
45000,1,11,0.172994
45000,1,12,0.177605
45000,1,13,0.191838
45000,1,14,0.189605
45000,1,15,0.195022
45000,1,16,0.184626
45000,1,17,0.179984
45000,1,18,0.179841
45000,1,19,0.166686
45000,1,20,0.174545
45000,1,21,0.184627
45000,1,22,0.176605
45000,1,23,0.174555
45000,1,24,0.173986
45000,1,25,0.175587
45000,1,26,0.158954
45000,1,27,0.164325
45000,1,28,0.184216
45000,1,29,0.158065
45000,1,30,0.179673
45000,1,31,0.172762
45000,1,32,0.167238
45000,1,33,0.162915
45000,1,34,0.179798
45000,1,35,0.171659
45000,1,36,0.187302
45000,1,37,0.166958
45000,1,38,0.160118
45000,1,39,0.159780
45000,1,40,0.152612
45000,1,41,0.175791
45000,1,42,0.171470
45000,1,43,0.179898
45000,1,44,0.170454
45000,1,45,0.170573
45000,1,46,0.174356
45000,1,47,0.175920
45000,1,48,0.173350
45000,1,49,0.169525
45000,1,50,0.166202
45000,0,1,0.170358
45000,0,2,0.157612
45000,0,3,0.174454
45000,0,4,0.156091
45000,0,5,0.164342
45000,0,6,0.153492
45000,0,7,0.160739
45000,0,8,0.168212
45000,0,9,0.172345
45000,0,10,0.156994
45000,0,11,0.169668
45000,0,12,0.165671
45000,0,13,0.161703
45000,0,14,0.157324
45000,0,15,0.165634
45000,0,16,0.159191
45000,0,17,0.159717
45000,0,18,0.169695
45000,0,19,0.167971
45000,0,20,0.170297
45000,0,21,0.188700
45000,0,22,0.161280
45000,0,23,0.180241
45000,0,24,0.179853
45000,0,25,0.161220
45000,0,26,0.165448
45000,0,27,0.184320
45000,0,28,0.160160
45000,0,29,0.169687
45000,0,30,0.157810
45000,0,31,0.150109
45000,0,32,0.146769
45000,0,33,0.177174
45000,0,34,0.168081
45000,0,35,0.164202
45000,0,36,0.172654
45000,0,37,0.165031
45000,0,38,0.155323
45000,0,39,0.170216
45000,0,40,0.189902
45000,0,41,0.168518
45000,0,42,0.187634
45000,0,43,0.166512
45000,0,44,0.161036
45000,0,45,0.151707
45000,0,46,0.165045
45000,0,47,0.167798
45000,0,48,0.161390
45000,0,49,0.165061
45000,0,50,0.172925
50000,1,1,0.155007
50000,1,2,0.172509
50000,1,3,0.163403
50000,1,4,0.151462
50000,1,5,0.141372
50000,1,6,0.195122
50000,1,7,0.200443
50000,1,8,0.202357
50000,1,9,0.196157
50000,1,10,0.203905
50000,1,11,0.192459
50000,1,12,0.244695
50000,1,13,0.200100
50000,1,14,0.213522
50000,1,15,0.196487
50000,1,16,0.205077
50000,1,17,0.193902
50000,1,18,0.196563
50000,1,19,0.187603
50000,1,20,0.194829
50000,1,21,0.188144
50000,1,22,0.199804
50000,1,23,0.186349
50000,1,24,0.192739
50000,1,25,0.202853
50000,1,26,0.192458
50000,1,27,0.185088
50000,1,28,0.196942
50000,1,29,0.184855
50000,1,30,0.192253
50000,1,31,0.195213
50000,1,32,0.193507
50000,1,33,0.198278
50000,1,34,0.176977
50000,1,35,0.187169
50000,1,36,0.196939
50000,1,37,0.182343
50000,1,38,0.191409
50000,1,39,0.173254
50000,1,40,0.189587
50000,1,41,0.189503
50000,1,42,0.161965
50000,1,43,0.188592
50000,1,44,0.178260
50000,1,45,0.186849
50000,1,46,0.190072
50000,1,47,0.177612
50000,1,48,0.193896
50000,1,49,0.187795
50000,1,50,0.180299
50000,0,1,0.185583
50000,0,2,0.184623
50000,0,3,0.180936
50000,0,4,0.178163
50000,0,5,0.186226
50000,0,6,0.176876
50000,0,7,0.175024
50000,0,8,0.169580
50000,0,9,0.181205
50000,0,10,0.185501
50000,0,11,0.183628
50000,0,12,0.163587
50000,0,13,0.186869
50000,0,14,0.193883
50000,0,15,0.223002
50000,0,16,0.181454
50000,0,17,0.231588
50000,0,18,0.213278
50000,0,19,0.215760
50000,0,20,0.186623
50000,0,21,0.198469
50000,0,22,0.171513
50000,0,23,0.192385
50000,0,24,0.174511
50000,0,25,0.182724
50000,0,26,0.165811
50000,0,27,0.181408
50000,0,28,0.196023
50000,0,29,0.182493
50000,0,30,0.193690
50000,0,31,0.175735
50000,0,32,0.268124
50000,0,33,0.169193
50000,0,34,0.172407
50000,0,35,0.169185
50000,0,36,0.179224
50000,0,37,0.186177
50000,0,38,0.191806
50000,0,39,0.181935
50000,0,40,0.181538
50000,0,41,0.184346
50000,0,42,0.195951
50000,0,43,0.214178
50000,0,44,0.173617
50000,0,45,0.180966
50000,0,46,0.188060
50000,0,47,0.253273
50000,0,48,0.187458
50000,0,49,0.230005
50000,0,50,0.241594
