UnionSize,Weighted,TestNum,Time
15000,1,36,0.000465
15000,1,37,0.000461
15000,1,38,0.000460
15000,1,39,0.000472
15000,1,40,0.000468
15000,1,41,0.000465
15000,1,42,0.000464
15000,1,43,0.000463
15000,1,44,0.000461
15000,1,45,0.000466
15000,1,46,0.000457
15000,1,47,0.000460
15000,1,48,0.000463
15000,1,49,0.000463
15000,1,50,0.000463
15000,0,1,0.000184
15000,0,2,0.000196
15000,0,3,0.000245
15000,0,4,0.000192
15000,0,5,0.000228
15000,0,6,0.000163
15000,0,7,0.000208
15000,0,8,0.000159
15000,0,9,0.000159
15000,0,10,0.000177
15000,0,11,0.000193
15000,0,12,0.000162
15000,0,13,0.000174
15000,0,14,0.000207
15000,0,15,0.000166
15000,0,16,0.000186
15000,0,17,0.000187
15000,0,18,0.000173
15000,0,19,0.000177
15000,0,20,0.000253
15000,0,21,0.000173
15000,0,22,0.000204
15000,0,23,0.000187
15000,0,24,0.000191
15000,0,25,0.000179
15000,0,26,0.000170
15000,0,27,0.000187
15000,0,28,0.000171
15000,0,29,0.000199
15000,0,30,0.000209
15000,0,31,0.000185
15000,0,32,0.000253
15000,0,33,0.000212
15000,0,34,0.000245
15000,0,35,0.000162
15000,0,36,0.000256
15000,0,37,0.000187
15000,0,38,0.000200
15000,0,39,0.000204
15000,0,40,0.000196
15000,0,41,0.000212
15000,0,42,0.000161
15000,0,43,0.000173
15000,0,44,0.000164
15000,0,45,0.000210
15000,0,46,0.000193
15000,0,47,0.000187
15000,0,48,0.000226
15000,0,49,0.000171
15000,0,50,0.000194
20000,1,1,0.000458
20000,1,2,0.000459
20000,1,3,0.000445
20000,1,4,0.000459
20000,1,5,0.000458
20000,1,6,0.000521
20000,1,7,0.000455
20000,1,8,0.000471
20000,1,9,0.000668
20000,1,10,0.000590
20000,1,11,0.000625
20000,1,12,0.000756
20000,1,13,0.000566
20000,1,14,0.000568
20000,1,15,0.000554
20000,1,16,0.000557
20000,1,17,0.000554
20000,1,18,0.000569
20000,1,19,0.000555
20000,1,20,0.000558
20000,1,21,0.000553
20000,1,22,0.000557
20000,1,23,0.000554
20000,1,24,0.000561
20000,1,25,0.000555
20000,1,26,0.000553
20000,1,27,0.000568
20000,1,28,0.000577
20000,1,29,0.000554
20000,1,30,0.000561
20000,1,31,0.000589
20000,1,32,0.000557
20000,1,33,0.000566
20000,1,34,0.000554
20000,1,35,0.000468
20000,1,36,0.000448
20000,1,37,0.000455
20000,1,38,0.000435
20000,1,39,0.000442
20000,1,40,0.000442
20000,1,41,0.000527
20000,1,42,0.000451
20000,1,43,0.000502
20000,1,44,0.000448
20000,1,45,0.000462
20000,1,46,0.000503
20000,1,47,0.000503
20000,1,48,0.000441
20000,1,49,0.000448
20000,1,50,0.000455
20000,0,1,0.000225
20000,0,2,0.000274
20000,0,3,0.000221
20000,0,4,0.000358
20000,0,5,0.000234
20000,0,6,0.000330
20000,0,7,0.000221
20000,0,8,0.000255
20000,0,9,0.000258
20000,0,10,0.000234
20000,0,11,0.000256
20000,0,12,0.000257
20000,0,13,0.000330
20000,0,14,0.000273
20000,0,15,0.000272
20000,0,16,0.000219
20000,0,17,0.000238
20000,0,18,0.000223
20000,0,19,0.000257
20000,0,20,0.000241
20000,0,21,0.000220
20000,0,22,0.000261
20000,0,23,0.000263
20000,0,24,0.000274
20000,0,25,0.000258
20000,0,26,0.000272
20000,0,27,0.000314
20000,0,28,0.000231
20000,0,29,0.000266
20000,0,30,0.000257
20000,0,31,0.000327
20000,0,32,0.000246
20000,0,33,0.000270
20000,0,34,0.000226
20000,0,35,0.000239
20000,0,36,0.000225
20000,0,37,0.000276
20000,0,38,0.000239
20000,0,39,0.000210
20000,0,40,0.000246
20000,0,41,0.000301
20000,0,42,0.000251
20000,0,43,0.000278
20000,0,44,0.000244
20000,0,45,0.000254
20000,0,46,0.000269
20000,0,47,0.000267
20000,0,48,0.000221
20000,0,49,0.000283
20000,0,50,0.000271
25000,1,1,0.000571
25000,1,2,0.000564
25000,1,3,0.000561
25000,1,4,0.000573
25000,1,5,0.000563
25000,1,6,0.000586
25000,1,7,0.000581
25000,1,8,0.000603
25000,1,9,0.000595
25000,1,10,0.000589
25000,1,11,0.000706
25000,1,12,0.000693
25000,1,13,0.000693
25000,1,14,0.000696
25000,1,15,0.000695
25000,1,16,0.000694
25000,1,17,0.000691
25000,1,18,0.000697
25000,1,19,0.000696
25000,1,20,0.000702
25000,1,21,0.000691
25000,1,22,0.000695
25000,1,23,0.000696
25000,1,24,0.000702
25000,1,25,0.000710
25000,1,26,0.000698
25000,1,27,0.000696
25000,1,28,0.000720
25000,1,29,0.000666
25000,1,30,0.000705
25000,1,31,0.000701
25000,1,32,0.000725
25000,1,33,0.000594
25000,1,34,0.000640
25000,1,35,0.000554
25000,1,36,0.000597
25000,1,37,0.000553
25000,1,38,0.000601
25000,1,39,0.000568
25000,1,40,0.000589
25000,1,41,0.000590
25000,1,42,0.000560
25000,1,43,0.000560
25000,1,44,0.000563
25000,1,45,0.000585
25000,1,46,0.000560
25000,1,47,0.000566
25000,1,48,0.000587
25000,1,49,0.000608
25000,1,50,0.000560
25000,0,1,0.000283
25000,0,2,0.000374
25000,0,3,0.000307
25000,0,4,0.000427
25000,0,5,0.000308
25000,0,6,0.000332
25000,0,7,0.000307
25000,0,8,0.000286
25000,0,9,0.000285
25000,0,10,0.000318
25000,0,11,0.000272
25000,0,12,0.000325
25000,0,13,0.000312
25000,0,14,0.000418
25000,0,15,0.000295
25000,0,16,0.000338
25000,0,17,0.000270
25000,0,18,0.000325
25000,0,19,0.000332
25000,0,20,0.000439
25000,0,21,0.000296
25000,0,22,0.000277
25000,0,23,0.000289
25000,0,24,0.000349
25000,0,25,0.000311
25000,0,26,0.000327
25000,0,27,0.000278
25000,0,28,0.000292
25000,0,29,0.000302
25000,0,30,0.000319
25000,0,31,0.000320
25000,0,32,0.000322
25000,0,33,0.000341
25000,0,34,0.000296
25000,0,35,0.000277
25000,0,36,0.000322
25000,0,37,0.000333
25000,0,38,0.000310
25000,0,39,0.000269
25000,0,40,0.000280
25000,0,41,0.000316
25000,0,42,0.000285
25000,0,43,0.000307
25000,0,44,0.000260
25000,0,45,0.000332
25000,0,46,0.000330
25000,0,47,0.000284
25000,0,48,0.000280
25000,0,49,0.000325
25000,0,50,0.000270
30000,1,1,0.000746
30000,1,2,0.000814
30000,1,3,0.000812
30000,1,4,0.000781
30000,1,5,0.000703
30000,1,6,0.000725
30000,1,7,0.000771
30000,1,8,0.000742
30000,1,9,0.000709
30000,1,10,0.000730
30000,1,11,0.000697
30000,1,12,0.000748
30000,1,13,0.000752
30000,1,14,0.000767
30000,1,15,0.000710
30000,1,16,0.000702
30000,1,17,0.000677
30000,1,18,0.000704
30000,1,19,0.000735
30000,1,20,0.000728
30000,1,21,0.000715
30000,1,22,0.000710
30000,1,23,0.000741
30000,1,24,0.000747
30000,1,25,0.000711
30000,1,26,0.000742
30000,1,27,0.000710
30000,1,28,0.000726
30000,1,29,0.000707
30000,1,30,0.000717
30000,1,31,0.000716
30000,1,32,0.000734
30000,1,33,0.000750
30000,1,34,0.000763
